DeviceID,Date,ALDER,ASH,BEECH,BIRCH,COTTONWOOD,ELM,HACKBERRY,HAZELNUT,HICKORY,JUNIPER,MAPLE,MULBERRY,OAK,PINE,PRIVET,SEDGES,SWEET GUM,SYCAMORE,WALNUT,WILLOW,CATTAIL,COCKLEBUR,DOG FENNEL,MUGWORT,NETTLE,PIGWEED,PLANTAIN,RAGWEED,SHEEP SORREL,Total
Clinic,2/3/2020 0:00,8.88,0,0,4.14,0,20.71,0,0,0,18.93,1.18,0,0,0.59,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.59,0,55.61
Clinic,2/4/2020 0:00,27.22,0,0,0,0,82.84,0,0,0,134.91,2.96,0,0,10.06,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,1.78,260.36
Clinic,2/5/2020 0:00,17.75,0,0,0,0,25.44,0,0,0.59,32.54,3.55,0,0.59,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.6
Clinic,2/6/2020 0:00,5.33,0,0,3.55,0,21.89,0,0,0,7.1,5.33,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.57
Clinic,2/7/2020 0:00,0,0,0,0.59,0,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42
Clinic,2/10/2020 0:00,4.73,0,0,0,0,2.37,0,0,0,5.33,1.18,0,0.59,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98
Clinic,2/11/2020 0:00,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18
Clinic,2/12/2020 0:00,0.59,0,0,0,0,0,0,0,0,7.69,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87
Clinic,2/13/2020 0:00,7.1,0,0,0,0,47.34,0,0,0,264.5,0.59,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,326.63
Clinic,2/14/2020 0:00,0.59,0,0,1.18,0,42.01,0,0,0,195.27,1.78,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.01
Clinic,2/17/2020 0:00,0,0,0,0,0,0.59,0,0,1.18,1.18,0.59,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72
Clinic,2/18/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinic,2/19/2020 0:00,0,0,0,0,0,1.18,0,0,0.59,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,4.14
Clinic,2/20/2020 0:00,0,0,0,0,0,32.54,0,0,0,50.89,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.02
Clinic,2/21/2020 0:00,0,0,0,0,0,0.59,0,0,0,0.59,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36
Clinic,2/24/2020 0:00,0,0,0,0,0,20.71,0,0,0,5.92,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.22
Clinic,2/25/2020 0:00,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59
Clinic,2/26/2020 0:00,0,1.18,0,0,0,36.09,0,0,0,31.95,1.78,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,72.18
Clinic,2/27/2020 0:00,0.59,0,0,0.59,0,29.59,0,0,0,156.8,1.78,0,0,5.92,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0.59,1.18,197.63
Clinic,2/28/2020 0:00,0.59,0,0,0,0,7.1,0,0,0,7.69,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16
Clinic,3/2/2020 0:00,0.59,0,0,1.18,0,13.61,1.18,0,0,36.69,2.96,0,7.69,11.24,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,75.73
Clinic,3/3/2020 0:00,0,0,0,0,0,0.59,0,0,0.59,0.59,0.59,0,1.78,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73
Clinic,3/4/2020 0:00,0.59,1.18,0,0.59,0,21.89,0,0,0,36.69,28.99,0,3.55,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.66
Clinic,3/5/2020 0:00,0,0,0,0,0,1.18,0,0,0,1.18,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95
Clinic,3/6/2020 0:00,0,0,0,0,0,9.47,0,0,0.59,11.83,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.26
Clinic,3/9/2020 0:00,0,0,0,2.37,0,1.18,0,0,0,6.51,2.96,0,14.79,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,36.68
Clinic,3/10/2020 0:00,0,0,0,13.61,0,0.59,5.33,0,0,15.98,7.69,0,29.59,84.02,0,0,5.33,4.73,0,6.51,0,0,0,0,0,0,0,0,1.18,174.56
Clinic,3/11/2020 0:00,0,0,0,0.59,0,1.78,0,0,0,1.18,0,0,5.33,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8
Clinic,3/12/2020 0:00,0,0.59,0,2.96,1.78,0.59,4.73,0,0.59,2.96,1.18,0,40.83,13.02,0,0,0.59,0.59,0,0,0,0,0,0,0,0,0,0,0,70.41
Clinic,3/13/2020 0:00,0,0,0,2.96,9.47,0,31.36,0,0,23.67,2.96,1.18,143.79,166.27,0,0,12.43,13.61,0,8.28,0,0,0,0,0,0,0,0,0,415.98
Clinic,3/16/2020 0:00,0.59,0,0,4.73,15.38,0.59,1.18,0,0,3.55,1.78,0,23.08,37.28,0,0,0.59,5.33,0,0.59,0,0,0,0,0,0,0,0,0,94.67
Clinic,3/17/2020 0:00,0,0,0,1.18,1.18,4.14,1.18,0,0,4.14,15.98,0,5.33,13.02,0,0,1.18,0.59,0,1.18,0,0,0,0,0,0,0,0,0.59,49.69
Clinic,3/18/2020 0:00,0,1.78,0,3.55,0,1.78,0.59,0,0,0,4.73,0,21.89,29.59,0,0,0.59,10.06,0,1.78,0,0,0,0,0,0,0,0,4.14,80.48
Clinic,3/19/2020 0:00,0,0,0,1.18,0,0,0,0,0.59,0,0,0,27.22,49.11,0,0,14.79,3.55,0.59,0,0,0,0,0,0,0,0,0.59,0,97.62
Clinic,3/20/2020 0:00,2.17,4.34,0,47.72,0,0,39.05,0,4.34,6.51,0,19.52,648.59,726.68,0,0,65.08,26.03,0,26.03,0,0,0,0,0,0,0,0,8.68,1624.74
Clinic,3/21/2020 0:00,0,0,0,4.34,2.17,2.17,73.75,0,2.17,13.02,26.03,8.68,286.33,1405.64,0,0,17.35,19.52,0,2.17,0,0,0,0,0,0,0,0,0,1863.34
